participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success
10_CYW,HI_MF,MF,HI,45000,LOW,HIGH,3.0,up,60000.0,332,209,206,8.177908033132532,3.2657747799608767,13.700503751196175,5.522595718063643,14.091800631916009,64.288111,,14.091800631916009,17.1331086976367,0
10_CYW,HI_MF,MF,HI,60000,HIGH,LOW,3.0,down,105000.0,333,204,211,23.33939052852853,13.273282208945107,17.250526372549018,-6.088864155979511,-20.039232604357913,22.254687,0.0,-20.039232604357913,-13.709286372430968,1
10_CYW,HI_MF,MF,HI,105000,LOW,HIGH,3.0,up,120000.0,339,210,212,11.008493029498524,2.9784399990864707,27.2779306,16.269437570501477,15.095014385595817,65.251847,,15.095014385595817,18.886329869052197,0
10_CYW,HI_MF,MF,HI,120000,HIGH,LOW,3.0,down,165000.0,338,211,204,26.417592639053257,9.853277407579032,13.229068559241707,-13.18852407981155,-17.347707874347375,31.637323,0.0,-17.347707874347375,-18.959265517694035,1
10_CYW,HI_MF,MF,HI,165000,LOW,HIGH,3.0,up,180000.0,333,213,205,10.820197153153153,3.7589803317867787,28.44328250234742,17.623085349194266,8.508297183432212,56.838086,,8.508297183432212,23.172387142963352,0
10_CYW,HI_MF,MF,HI,180000,HIGH,LOW,3.0,down,225000.0,327,211,206,28.62866522018349,16.401054122754985,34.49508912796208,5.866423907778593,-19.884505953193198,57.287766,1459.0,-19.884505953193198,-12.582732334469206,1
10_CYW,HI_MF,MF,HI,225000,LOW,HIGH,3.0,up,,337,210,209,8.980769821958457,4.812989119330792,23.26965687142857,14.288887049470112,20.823168800051107,51.115057,,20.823168800051107,22.552018685358618,0
10_CYW,LI_LF,LF,LI,60000,LOW,MID,1.5,up,120000.0,332,211,209,3.3971811295180716,1.633082482608337,11.548192654028433,8.151011524510363,4.36056272215657,27.12397,,4.36056272215657,6.382849457020391,0
10_CYW,LI_LF,LF,LI,120000,MID,LOW,1.5,down,180000.0,338,213,219,11.6176139852071,4.014909992791023,6.184642690140846,-5.432971295066254,-4.499426327672854,11.921821,0.0,-4.499426327672854,-7.582210096857586,1
10_CYW,LI_LF,LF,LI,180000,LOW,MID,1.5,up,,340,205,206,3.7869210882352946,1.3068246840953586,7.377300448780487,3.590379360545193,1.9555304360365517,12.940694,,1.9555304360365517,1.3573078235294118,0
